Complexity,Loss,Equation
1,0.10199319,"-0.20563005"
3,0.0588022,"(T * -0.17190455)"
5,0.005972035,"(T * (H * -0.05997266))"
7,0.005597742,"((T * (H * -0.058132894)) - 0.022462467)"
9,0.0028745325,"((T * -0.2781848) / ((B + T) / H))"
11,0.0014356299,"((T * -0.32347342) / (((T + B) / H) + 0.13005286))"
13,0.0011110589,"((T * -0.2781848) / (((B + (T * 0.7621945)) / H) + 0.124892645))"
15,0.0010139525,"((T * -0.2781848) / (((B + (T * 0.84050244)) / (H / 0.9227104)) + 0.124892645))"
17,0.0009460458,"((T * -0.2748795) / (((B + T) + ((H + B) * 0.218557)) / (H / 0.7194892)))"
19,0.0007769051,"(((T * -0.29817516) / ((((T + (B + (B / H))) / H) - -0.29817516) * 0.86782146)) / 0.8347245)"
21,0.0005989899,"((T * -0.2781848) / (((B + T) + ((H + ((B / H) * B)) * 0.2523298)) / (H / 0.71627915)))"
23,0.000497067,"(((T * -0.29817516) / ((((T + (B + (((B * B) * 0.48928326) / H))) / H) - -0.29817516) * 0.86782146)) / 0.8347245)"
25,0.00040115937,"((T * -0.2814757) / (((B + T) + ((H + (((B * B) * B) / (H / 0.5883112))) * 0.2523298)) / (H / 0.71627915)))"
