Complexity,Loss,Equation
1,0.12558833,"0.21778339"
3,0.0888509,"(0.19083272 * T)"
5,0.03300115,"(0.062004752 * (T * H))"
7,0.032293487,"(((0.05920738 * T) + 0.0061593656) * H)"
9,0.027293319,"((0.2644602 * H) * (T / (T + B)))"
11,0.011713907,"((0.062004775 * (T + (0.062004775 / (1.3259822 - T)))) * H)"
13,0.011023346,"((0.062004775 * (T + (0.062004775 / (1.3259822 - (T / 0.99596995))))) * H)"
17,0.009023396,"(((-0.3771057 * T) / (((0.23077862 / (T - 1.246086)) - (2.104722 + B)) - T)) * H)"
19,0.008337328,"(((-0.3257788 * T) * H) / (((((0.2612024 / (T - 1.2534735)) * 0.607254) - T) - B) - 1.1781267))"
21,0.008298026,"(((-0.3257788 * T) * H) / ((((((0.2612024 / (T - 1.2534735)) + 0.5156757) + -2.38558) * 0.607254) - T) - B))"
23,0.008297287,"(((-0.3257788 * T) * H) / ((((((0.2612024 / (T - 1.2534735)) - -0.07108275) + -1.644962) * 0.607254) - T) - (B + 0.1857183)))"
25,0.008222864,"(((-0.3257788 * T) * H) / ((((((0.2612024 / (T - 1.2534735)) + -1.644962) * 0.607254) - (T + 0.2612024)) - B) - (-0.8665371 / H)))"
