Complexity,Loss,Equation
1,0.13477461,"0.21572255"
3,0.09742941,"(0.18111365 * T)"
5,0.036235236,"(0.060777053 * (T * H))"
7,0.035604052,"(((0.058346294 * T) + 0.005541024) * H)"
9,0.030781237,"((T * 0.25818545) / ((T + B) / H))"
11,0.008649979,"(0.05817933 * ((T * H) - (-0.20566458 / (1.3132659 - T))))"
13,0.008606559,"(0.05817933 * (((T * H) - (-0.20566458 / (1.3132659 - T))) + 0.11037158))"
15,0.008511692,"(0.058742214 * ((T * ((H * 0.96185344) - (-0.15041259 / (1.3132424 - T)))) + 0.3835536))"
17,0.0080909,"(0.05817933 * (T * ((H - ((-0.14852604 / (1.3132424 - T)) + -0.97202593)) - (T * 0.27640238))))"
19,0.008014329,"(0.058742214 * (((T * ((H - (-0.14852604 / (1.3132424 - T))) - 0.18521789)) - -1.4947357) + (-0.51266605 * B)))"
21,0.0077403234,"(0.05817933 * (T * ((H - ((-0.14852604 / (1.3132424 - T)) + -0.97202593)) - (((B - 1.4765234) + T) * 0.27640238))))"
23,0.006822095,"(0.058742214 * (((T * ((H - (-0.14852604 / (1.3132424 - T))) - ((T * 0.27640238) - 0.76883346))) - -1.5819833) + (-0.58542395 * B)))"
