Complexity,Loss,Equation
1,0.12959252,"0.22241707"
3,0.098674625,"(0.18650185 * T)"
5,0.041749414,"((H * T) * 0.06140295)"
7,0.039952125,"(((T + 0.17235492) * 0.05694618) * H)"
9,0.033880387,"(T / (((B + T) / H) / 0.2680917))"
11,0.0318517,"(T / ((((B + T) + 0.7742462) / H) / 0.32315233))"
13,0.029848004,"(T / (((((T - -1.4169934) + B) / H) / 0.2734971) + -0.8493156))"
15,0.029687796,"(T / (((((0.32790682 * (B * B)) + T) + 1.5242833) / H) / 0.32790682))"
17,0.02861132,"(T / (((((((B - 0.8092415) / 1.8769152) * B) + T) - -1.3294384) / H) / 0.32790682))"
19,0.023609651,"(((H * T) - ((0.06140295 - 0.47988725) / (0.97137743 - ((-0.5288122 * (H * -0.71206737)) - B)))) * 0.06140295)"
21,0.020631252,"(((H * T) - (((0.06140295 * T) - 0.47988725) / (0.97137743 - ((-0.5288122 * (H * -0.71206737)) - B)))) * 0.06140295)"
23,0.019005632,"(((H * T) - ((((0.06140295 * T) - 0.3047875) / 0.57208157) / (0.97137743 - ((-0.5288122 * (H * -0.71206737)) - B)))) * 0.06140295)"
25,0.018438598,"(((H * T) - (((((0.06140295 * T) - 0.3047875) / 0.8841136) / 0.57208157) / (0.97137743 - ((-0.5288122 * (H * -0.71206737)) - B)))) * 0.06140295)"
