Complexity,Loss,Equation
1,0.13966632,"-0.20453906"
3,0.08752311,"(-0.19169605 * T)"
5,0.015211051,"((-0.06506507 * H) * T)"
7,0.015091238,"(-0.067167126 * (T * (-0.15936035 + H)))"
9,0.014150987,"((-0.06850336 * (H + (-0.1939541 * B))) * T)"
11,0.013583247,"((-0.0718722 * (H + (-0.08051701 * (B * H)))) * T)"
13,0.013435341,"(-0.067167126 * ((T * (H + (B * -0.30969936))) + (1.0772572 / H)))"
15,0.01273632,"(-0.067167126 * ((T - (-0.12585801 * (-0.12585801 / ((0.7654232 + -0.067167126) - T)))) * H))"
17,0.0125745535,"(-0.067167126 * ((T - (-0.12585801 * (-0.12585801 / ((0.62651217 - T) - -0.067167126)))) * (-0.15936035 + H)))"
19,0.012238067,"(-0.06850336 * ((T - (-0.067167126 * (-0.12585801 / ((0.62651217 - T) - -0.067167126)))) * ((-0.15936035 * B) + H)))"
21,0.011367831,"(-0.067167126 * ((T - (-0.12585801 * (-0.12585801 / ((0.62651217 - T) - -0.067167126)))) * ((H - (0.32723626 * B)) + 0.30566326)))"
23,0.011176125,"(-0.067167126 * (((T + 0.040181328) - (-0.12585801 * (-0.12585801 / ((0.62651217 - T) - -0.067167126)))) * ((H - (0.32723626 * B)) + 0.30566326)))"
25,0.01094343,"(-0.067167126 * (((T + 0.040181328) - (-0.12585801 * (-0.12585801 / ((0.62651217 - T) - -0.067167126)))) * ((H - (0.32723626 * B)) + (0.30566326 / H))))"
