Complexity,Loss,Equation
1,0.044294488,"0.07492696"
4,0.00047280543,"exp(t / -0.16383344)"
6,0.00012206883,"(exp(t / -0.14827937) * 1.1128558)"
8,0.00011910771,"(exp((t / -0.14934212) + 0.108507335) - 0.0020764659)"
10,0.000117213094,"(exp((t / -0.1492947) + t) * (1.108731 - t))"
11,0.00010029646,"exp((exp(t / -0.02581665) * 0.1257239) + (t / -0.16383344))"
12,5.4612523e-5,"(exp((t / -0.15210669) + 0.108507335) + (-0.0007520306 / (t - 0.037915245)))"
14,5.3960663e-5,"(exp((t / -0.15210669) + (0.108507335 / 0.9416818)) + (-0.0007944411 / (t - 0.037915245)))"
16,5.359793e-5,"(exp((t / -0.15210669) + (0.108507335 / 0.9416818)) + (-0.0007520306 / (t - (0.037915245 * 1.0303165))))"
17,1.4608626e-5,"exp((((((0.29933447 - t) / 0.026765143) * (t + -0.20144404)) - exp(1.8591822)) * t) - -0.12253025)"
18,1.4581926e-5,"exp((((((0.29933447 - t) / 0.026765143) * (t + -0.20144404)) - exp(exp(0.6203425))) * t) - -0.12253025)"
19,1.4139852e-5,"exp(((((((0.26679412 - t) / 0.025623951) * (t + -0.20796643)) + t) - exp(1.8863695)) * t) - -0.12202344)"
20,1.4040016e-5,"exp((((((0.29933447 - t) / (0.026765143 / 1.0729566)) * (t + -0.20144404)) - exp(exp(0.6203425))) * t) - -0.12253025)"
21,1.39147505e-5,"exp(((((((0.26659662 - t) / 0.025623951) * ((t + -0.20543659) / 0.9560543)) + t) - exp(1.8863695)) * t) - -0.12202344)"
