Complexity,Loss,Equation
1,0.073784724,"0.24358228"
4,0.0002046559,"exp(-1.6233582 * t)"
6,0.00012325551,"(exp(-1.5067979 * t) + -0.0209116)"
8,5.0389994e-5,"exp((-1.4610564 + (-0.18477981 * t)) * t)"
9,4.8908834e-5,"exp((-1.4611605 / exp(-0.11633693 * t)) * t)"
10,3.375647e-5,"exp(((-1.410569 + (-0.21858567 * t)) * t) + -0.013273761)"
12,1.3630171e-5,"exp((((t / exp(exp(t))) / 0.30117807) - 1.8410611) * t)"
13,3.5184923e-6,"exp(((t / exp((t + t) * t)) - 1.8035553) * t)"
15,9.5200267e-7,"exp(((t / (exp((1.0482168 + t) * t) - t)) - 1.8076991) * t)"
17,9.3481276e-7,"exp(((t / (exp((1.0482168 + t) * t) - (t + 0.0066226954))) - 1.8076991) * t)"
18,8.606527e-7,"(exp(((t / (exp((1.0689706 + t) * t) - t)) - exp(0.59006906)) * t) + -0.00027832654)"
19,8.596084e-7,"exp(((t / ((exp((t * t) + t) * 1.0614971) - (t + 0.08131687))) - 1.8076991) * t)"
20,6.883302e-7,"(exp(((t / (exp((1.0689706 + t) * t) - t)) - exp(0.59006906)) * t) + (-0.00027832654 * t))"
21,5.3609875e-7,"exp(((t / (exp((1.848335 * t) * (1.848335 * 0.61631054)) - ((1.7618026 * t) + t))) - 1.8410611) * t)"
