Complexity,Loss,Equation
1,0.00026050291,"0.16405559"
5,0.00015426528,"((0.013999156 * t) - -0.14655666)"
6,0.000117118834,"((0.0037837494 * exp(t)) - -0.146967)"
7,0.000111981164,"(((0.006402864 * t) * t) - -0.15058059)"
8,0.000110458845,"((0.004950995 * (exp(t) - t)) - -0.14788409)"
9,3.374721e-5,"exp(-1.6623183 - (exp(-1.5425228 * t) * t))"
10,5.644709e-6,"exp(exp(t / exp(t / 0.5511064)) * -1.6196903)"
11,4.997584e-7,"exp(((t / exp(t / 0.57615215)) - -0.99692774) * -1.6213291)"
13,4.4429916e-7,"exp((((t / exp(t / 0.5764693)) / 1.006859) - -0.99692774) * -1.6213291)"
14,8.74589e-8,"exp(exp(t / ((exp(t / 0.60836905) - 0.2043906) + t)) * -1.6039575)"
16,8.7422016e-8,"exp(exp(t / ((exp(t / 0.60836905) + (t + -0.15351777)) - 0.051078975)) * -1.6039575)"
17,8.5848384e-8,"exp(exp(t / ((exp(t / 0.60836905) - exp(-1.6039575)) + (t / 1.0274543))) * -1.6039575)"
19,8.113648e-8,"exp(exp(t / (((exp(t / 0.60836905) - exp(-1.6039575)) + t) + (-0.017164739 * t))) * -1.6039575)"
20,7.90225e-8,"exp(exp(t / (exp(t / 0.60836905) + ((((0.6072263 * t) + -0.32103997) + t) * 0.6072263))) * -1.6039575)"
21,6.5187024e-8,"exp(exp(t / ((exp(t / 0.60836905) + (-0.18888049 * exp(t / exp(exp(t))))) + t)) * -1.6039575)"
