Complexity,Loss,Equation
1,0.906347,"-0.5885035"
3,0.56073946,"(-0.16078508 - A)"
5,0.29677966,"((-1.6305126 * A) * C)"
7,0.14808556,"((C * (B - 2.4352477)) * A)"
9,0.052442994,"(((B * A) + -2.8122175) * (A * C))"
11,0.04015115,"((-3.1241095 + (B * (A + 0.4079725))) * (A * C))"
13,0.0130475685,"(((-2.3435526 * C) * A) / (((B - -0.22090061) * A) - -0.25397208))"
15,0.011035437,"(((-2.3435526 * (C - -0.033587877)) * A) / (((B - -0.22090061) * A) - -0.2696388))"
17,0.009460149,"((((-2.3857713 - -0.30840972) * C) * A) / ((((B * B) - -0.1979039) * A) - -0.26523814))"
19,0.008862803,"(((((-2.3435526 * C) + 0.062310964) * A) / ((((B * B) - -0.21185106) * A) - -0.25545025)) * 0.922272)"
