Complexity,Loss,Equation
1,0.9010421,"-0.116885655"
3,0.6744497,"(A - B)"
5,0.45008838,"((A * C) - B)"
7,0.3489196,"(A / (B + (2.1321027 - C)))"
9,0.07809648,"((A / ((0.2770607 + B) / C)) - B)"
11,0.06775963,"(((A / ((0.349373 + B) / C)) - B) * 1.2768425)"
13,0.04176608,"((((A * C) / (0.45260474 + (A * B))) - B) * 1.7036536)"
15,0.026444588,"((((A * (C - -0.13138184)) / (0.4892024 + (A * B))) - B) * 1.7086678)"
17,0.021105222,"((((A * (C - -0.116886355)) / (0.5520848 + ((A - 0.1839991) * B))) - B) * 1.8396432)"
19,0.019042961,"((((A * (C + 0.11481194)) / (0.4892024 + ((A - 0.14124677) * (B - -0.025844289)))) - B) * 1.8715484)"
