Complexity,Loss,Equation
1,0.854111,"0.15038133"
3,0.7343314,"(B - A)"
5,0.49539062,"(B - (A * C))"
7,0.29771128,"(C / (-0.13415945 - (B / -0.0026235625)))"
9,0.101149864,"(((A * C) / (-0.26524562 - B)) + B)"
11,0.08145332,"((A / ((-0.2633403 - (B * A)) / C)) + B)"
13,0.041653477,"((((A * C) / (-0.4056213 - (B * A))) + B) * 1.6024609)"
15,0.029355654,"(((A * C) / (-0.259473 - (B * (B * A)))) + (B * 1.413013))"
17,0.017307352,"((((A * C) / (-0.4276449 - ((B * B) * (A * A)))) + B) * 1.6434486)"
19,0.016428048,"(((((A + -0.0067150807) * C) / (-0.4276449 - ((A * B) * (A * B)))) + B) * 1.6434486)"
