Complexity,MSE,Equation
1,434.7942683,0.526702264
3,40.76127105,(x1 * 0.10966076534131627)
5,34.50260338,(1.448204686350711 - (x2 / x1))
7,16.55157123,(1.448204686350711 - (x2 / (x1 + 1.301718554760962)))
9,10.17854513,(((x1 - x2) / (x1 + x2)) + 0.5503817484335563)
11,9.985773857,(((x1 - x2) / ((x1 + x2) - 0.4208961627141167)) + 0.5503817484335563)
13,9.212652467,(((x1 - (x2 * 0.9511043782538369)) / ((x1 + 0.9511043782538369) - -1.463142636571438)) + 0.5503817484335563)
17,9.14104222,(((x1 - (x2 * 0.9511043782538369)) / (((x1 + (0.88463207238516 - 0.5517826934655957)) + 0.40610899039751075) - -1.463142636571438)) + 0.5503817484335563)
21,8.91488162,((0.739508114700605 / ((-1.4981130624723105 / (x2 - ((((x1 - -0.6971342346220464) / (x2 + 1.363483193116162)) / x2) * x2))) * x1)) - -1.0126066402678575)
25,8.785378235,((0.8296466025660958 / (((-1.4981130624723105 / (x2 - ((((x1 - -1.0126066402678575) / (x2 + 1.0429114224844598)) / x2) * x2))) + (-0.07261050200508873 / x1)) * x1)) - -1.0126066402678575)
