Complexity,MSE,Equation
1,415.1858356,0.519017278
3,33.35783125,(x1 * 0.11296408477380898)
5,16.92759693,(x1 / (x2 + 5.222688707960438))
7,12.29166297,(((x2 / x1) + -2.488334504099483) * -0.461714890293021)
9,9.503091437,((((x2 * -0.4286310264821782) + x1) / x1) * 1.143281538753635)
13,8.671637387,((((((x2 / 1.7924748357124987) - x1) / 0.3102836594438425) + -1.320001005304785) / x1) / -3.0124086851831895)
15,6.240900552,(((((((x2 / 1.7924748357124987) - x1) / 0.3102836594438425) + -1.320001005304785) / x1) / -3.0124086851831895) * 1.0593017756735041)
17,6.164884046,((((((((x2 / 1.7924748357124987) - x1) / 0.3102836594438425) + -1.320001005304785) - 0.16380335931105736) / x1) / -3.0124086851831895) * 1.0593017756735041)
19,6.083391122,(((((((x2 / 1.7924748357124987) - x1) / 0.3102836594438425) + -1.320001005304785) / x1) + ((x1 * -0.0752528665493628) + 0.3102836594438425)) / -3.0124086851831895)
25,5.837215872,((((x1 + x1) - (x2 - (1.5085182801402266 / x1))) * ((((x1 - 0.27289102018778755) - (-0.20597607583986444 / (-1.3674084506085722 / x2))) * 0.6515952263301846) / x1)) / x1)
